	Lao	vietnamese	score
10	ໃນ 30 ປີ ຕໍ່ໜ້າ, ອີງຕາມອົງການ UNESCO, ຈະມີຄົນທົ່ວໂລກທີ່ຈະຈົບ ຈາກການສຶກສາຫຼາຍກວ່າທີ່ເຄີຍມີມາໃນປະຫວັດສາດ.	Trong 30 năm tới, theo UNESCO, số người tốt nghiệp trên toàn thế giới qua học hành, là lớn nhất trong lịch sử.	4
11	ມີການຄົ້ນຄວ້າຢູ່ຫລາຍບ່ອນ, ແຕ່ຂ້າພະເຈົ້າຮູ້ຈາກປະສົບການຊີວິດສ່ວນຕົວ.	Có hàng đống nghiên cứu, nhưng tôi hiểu nó từ kinh nghiệm bản thân.	4
12	ຂ້າພະເຈົ້າເຊື່ອວ່າຄວາມຫວັງອັນດຽວຂອງພວກເຮົາຕໍ່ອະນາຄົດ ແມ່ນການຮັບເອົາແນວຄວາມຄິດຂອງລະບົບນິເວດຂອງຄົນ,ອັນທີ່ຄົນເຮົາເລີ່ມສ້າງແນວຄວາມຄິດຂອງພວກເຮົາໃໝ່ ທີ່ກ່ຽວພັນກັບຄວາມອຸດົມຮັ່ງມີຂອງສະມັດຖະພາບຂອງຄົນ.	Tôi tin rằng niềm hy vọng duy nhất cho tương lai là thông qua một khái niệm mới về nhân sinh học, khái niệm mà trong đó chúng ta bắt đầu cải tổ lại quan niệm của chúng ta về khả năng dồi dào của con người.	4
13	ພວກເຮົາຕ້ອງຄິດຄືນໃໝ່ເຖິງຫຼັກທຳພື້ນຖານ ທີ່ເຮົາອີງໃສ່ເພື່ອສຶກສາລູກຫຼານຂອງເຮົາ.	Chúng ta phải nghĩ lại những nguyên tắc gốc rễ mà dựa trên đó chúng ra đang dạy dỗ thế hệ trẻ.	4
14	ຄຳເວົ້າທີ່ວິເສດອັນໜຶ່ງ ໂດຍ ໂຈນາສ ຊອກ, ຜູ້ທີ່ໄດ້ເວົ້າວ່າ, ຖ້າແມງໄມ້ທັງໝົດ ຫາກຈະຫາຍໄປຈາກໂລກນີ້, ພາຍໃນ 50 ປີ ສິ່ງມີຊີວິດທັງໝົດໃນໂລກນີ້ຄົງຈະຈົບລົງ.	Có một câu nói tuyệt vời của Jonas Salk rằng Nếu tất cả côn trùng biến mất khỏi Trái Đất, trong vòng 50 năm sự sống trên Trái Đất sẽ chấm dứt.	4
15	ກໍ່ສ້າງນະໂຍບາຍເງິນເດືອນໃນວິສາຫະກິດຕາມກົນໄກຕະຫຼາດ	Xây dựng chính sách tiền lương trong doanh nghiệp theo cơ chế thị trường	4
16	ຕະຫຼາດການເງິນກໍາລັງພົບກັບສະຖານະການທີ່ເປັນຕາຕົກໃຈຫຼືໜັກໜ່ວງຫຼາຍຂຶ້ນ ເຖິງແມ້ວ່າຈະມີຂ່າວການເງິນ ແລະ ຕະຫຼາດຫຸ້ນ ຈາກ ອາເມລິກາ ແບະ ເອຣົບ ແຕ່ກະບໍ່ສາມາດເຂົ້າເຖິງຕະຫຼາດອາຊີ.	Các thị trường tài chính đang phải đối mặt với một tình hình thậm chí còn đáng báo động hơn, với các tin tức tài chính và báo giá chứng khoán từ Mỹ và châu Âu không thể tiếp cận thị trường châu Á.	4
17	ຄວາມສາມາດຂອງອິນເຕີເນັດໃນໄຕ້ຫວັນ ລຸດລົງເຖິງ 40% ແລະ ໃນທີ່ສຸດເຮັດໃຫ້ເຄືອຄ່າຍຕິດຂັດ.	Công suất mạng internet của Đài Loan đã giảm xuống 40% và do đó các mạng bị tắc nghẽn.	4
18	ນັກທ່ອງທ່ຽວຕ່າງປະເທດມາຫວຽດນາມ ບັນລຸເກືອບ 8,5 ລ້ານເທື່ອຄົນ, ເພີ່ມຂຶ້ນ 7,5%.	Khách du lịch quốc tế đến Việt Nam đạt gần 8,5 triệu lượt, tăng 7,5%.	4
19	ໃນວິວັດການເຊື່ອມໂຍງ, ເຂົ້າຮ່ວມຕະຫຼາດການບິນສາກົນ, ຂ້າພະເຈົ້າຖືວ່າແມ່ນ ສິ່ງທ້າທາຍໃຫຍ່ທີ່ສຸດ, ກ່ອນອື່ນໝົດ ແມ່ນພວກເຮົາຕ້ອງສ້າງສະພາບແວດລ້ອມແກ່ງແຍ້ງ ເຮັດແນວໃດເພື່ອໃຫ້ໂປ່ງໃສ, ຍຸຕິທຳ, ຫຼີກລ້ຽງການແກ່ງແຍ້ງກັນດ້ວຍລາຄາ ທີ່ບໍ່ເໝາະສົມ.	Trong quá trình hội nhập, tham gia vào hàng không quốc tế, tôi cho rằng, thách thức rất lớn trước hết là chúng ta phải tạo ra một môi trường cạnh tranh làm sao cho minh bạch, bình đẳng, tránh chuyện cạnh tranh bằng gía cả mà nó không hợp lý.	4
20	ຕອນບ່າຍວັນທີ 08 ມີນາ, ຂໍ້ມູນຂ່າວຈາກສູນຄວບຄຸມພະຍາດນະຄອນໂຮ່ຈີມິນ, ຜົນຂອງການກວດຫາເຊື້ອ 20 ຄົນນັ່ງມາໃນຖ້ຽວບິນ VN0054 ພ້ອມກັບຜູ້ຕິດພະຍາດ Covid-19 ຄົນທີ 17, ຫຼັງຈາກນັ້ນເດີນທາງໄປນະຄອນໂຮ່ຈີມິນ ລ້ວນແຕ່ຜົນເປັນລົບກັບໄວຣັດ SARS-Cov-2.	Chiều 8/3, thông tin từ Trung tâm Kiểm soát bệnh tật Thành phố Hồ Chí Minh, kết quả xét nghiệm 20 trường hợp đi cùng chuyến bay VN0054 với ca nhiễm COVID-19 thứ 17 sau đó di chuyển về Thành phố Hồ Chí Minh đều có kết quả âm tính với virus SARS-CoV-2.	4
21	ທ່ານຈະສົງໄສວ່າເປັນຫຍັງເກີດຂື້ນແບບນີ້?	Bạn sẽ thắc mắc sao có những chuyện xảy ra ngẫu nhiên như thế ?	4
22	ຕອນບ່າຍວັນທີ 07 ທັນວາ, ທ່ານຮອງປະທານຜູ້ປະຈຳການສະຫະພັນບານເຕະຫວຽດນາມ ເຈິ່ນກວ໊ກຕ໊ວນ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມທາງອອນລາຍຂອງຄະນະແຂ່ງຂັນສະຫະພັນບານເຕະອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (AFF) ເພື່ອປຶກສາຫາລື ແລະ ຮັບຮອງເອົາບັນດາຂໍ້ສະເໜີແຜນການຈັດຕັ້ງບັນດາການແຂ່ງຂັນໃນປີ 2021.	Chiều 7/12, Phó chủ tịch thường trực Liên đoàn Bóng đá Việt Nam Trần Quốc Tuấn tham dự cuộc họp trực tuyến của Ban thi đấu Liên đoàn Bóng đá Đông Nam Á (AFF) nhằm thảo luận và thông qua các đề xuất kế hoạch tổ chức các giải đấu trong năm 2021.	4
23	ມັນທັງ ໝົດ ໄດ້ເລີ່ມຕົ້ນໃນຕາເວັນອອກກາງ, ເປັນເວລາຫຼາຍປີທີ່ພວກເຮົາອາໄສຢູ່ກັບຄວາມຮັບຮູ້ທີ່ຜິດພາດຂອງຕາເວັນອອກກາງ.	Mọi chuyện khởi đầu từ vùng Trung Đông , trong rất nhiều năm chúng tôi sống với nhận thức hoàn toàn sai lầm về Trung Đông .	4
24	ລວມທັງໝົດມີ 86 ຜົນງານທີ່ໄດ້ສົ່ງມາເຂົ້າຮ່ວມແຂ່ງຂັນ, ໃນນັ້ນມີ ປຶ້ມ 37 ຫົວ, ບົດຂຽນ 49 ບົດ ແລະ ລາຍການກະຈາຍສຽງຕ່າງໆຂອງບັນດາອົງການ, ຫົວໜ່ວຍສະເໜີພິຈາລະນາມອບລາງວັນ.	Tổng số có 86 tác phẩm gửi về, trong đó có 37 sách, 49 bài viết và chương trình phát thanh được các cơ quan, đơn vị đề nghị xét tặng thưởng.	4
25	ຕອນເຊົ້າວັນທີ 8 ຕຸລາ, ນະຄອນໂຮ່ຈີມິນ ໄດ້ຈັດຕັ້ງການຖະແຫຼງຂ່າວ ກ່ຽວກັບເວທີປາໄສເສດຖະກິດນະຄອນໂຮ່ຈີມິນ ປີ 2019 ດ້ວຍຫົວຂໍ້ ພັດທະນານະຄອນໂຮ່ຈີມິນກາຍເປັນສູນການເງິນລະດັບພາກພື້ນ ແລະ ສາກົນ	Sáng 8/10, Thành phố Hồ Chí Minh tổ chức Họp báo về Diễn đàn Kinh tế Thành phố Hồ Chí Minh năm 2019 với chủ đề Phát triển Thành phố Hồ Chí Minh thành trung tâm tài chính khu vực và quốc tế.	4
26	ເປັນຄັ້ງ ທຳ ອິດໃນປະຫວັດສາດຂອງດາວເຄາະນີ້, ພວກເຮົາສາມາດອອກແບບສິ່ງມີຊີວິດໂດຍກົງ.	Lần đầu tiên trong lịch sử của hành tinh này , chúng ta có khả năng thiết kế các sinh vật một cách trực tiếp .	4
27	ມູນຄ່າເຄື່ອງໝາຍແຫ່ງຊາດຂອງຫວຽດນາມ ເພີ່ມຂຶ້ນຕື່ມອີກ 12 ຕື້ USD.	Gía trị thương hiệu quốc gia của Việt Nam tăng thêm 12 tỷ USD	4
28	ຮ່າງຍຸດທະສາດຊັບສິນທາງປັນຍາຮອດປີ 2030 ໄດ້ວາງບັນດາຄາດໝາຍລະອຽດຫລາຍຢ່າງ, ໃນນັ້ນ ສູ້ຊົນຮອດປີ 2030, ດັດຊະນີກ່ຽວກັບຊັບສິນທາງປັນຍາໃນດັດຊະນີປະດິດຄິດສ້າງທົ່ວໂລກ (GII) ເພີ່ມຂຶ້ນໃນລະດັບປານກາງ 10%; ສ້າງຕັ້ງ ແລະ ພັດທະນາບັນດາຂະແໜງອຸດສາຫະກຳທີ່ນຳໃຊ້ຊັບສິນທາງປັນຍາ, ປະກອບສ່ວນເຂົ້າໃນ GDP; ສູ້ຊົນຮອດປີ 2025, ມີວິສາຫະກິດ ຫວຽດນາມ ຢ່າງໜ້ອຍສຸດ 25% ແລະ ຮອດປີ 2030 ໜ້ອຍສຸດແມ່ນ 50% ນຳເຄື່ອງມືຊັບສິນທາງປັນຍາເຂົ້າໃນຍຸດທະສາດການຜະລິດ, ດຳເນີນທຸລະກິດ.	Dự thảo Chiến lược sở hữu trí tuệ đến năm 2030 đặt nhiều mục tiêu cụ thể, trong đó phấn đấu đến năm 2030, chỉ số về tài sản trí tuệ trong Chỉ số sáng tạo toàn cầu (GII) tăng trung bình 10%; hình thành và phát triển các ngành công nghiệp thâm dụng sở hữu trí tuệ, gia tăng đáng kể đóng góp vào GDP; phấn đấu đến năm 2025, có ít nhất 25% và đến năm 2030 ít nhất 50% số doanh nghiệp Việt Nam đưa công cụ sở hữu trí tuệ vào chiến lược sản xuất, kinh doanh.	4
29	ໃນຮ້ານວາງສະແດງ, ສະຖານທູດຫວຽດນາມ ໄດ້ແນະນຳເອກະສານ, ໜັງສືພິມ, ພາບຖ່າຍ ຫຼາຍສະບັບກ່ຽວກັບວັດທະນະທຳ, ປະຫວັດສາດ, ປະເທດຊາດ ແລະ ຊາວຫວຽດນາມ, ພິເສດແມ່ນຜົນງານໃນການພັດທະນາທີ່ພົ້ນເດັ່ນຂອງຫວຽດນາມ.	Trong không gian trưng bày, Đại Sứ quán Việt Nam đã giới thiệu nhiều tài liệu, sách báo, tranh ảnh về văn hóa, lịch sử, đất nước và con người Việt Nam, đặc biệt là thành tựu phát triển nổi bật của Việt Nam.	4
30	ດັດຊະນີພັດທະນາລັດຖະບານ ເອເລັກໂຕນິກຂອງ ຫວຽດນາມ ໄດ້ຮັບການຕີລາຄາຢູ່ໃນລະດັບສູງ	Chỉ số phát triển Chính phủ điện tử của Việt Nam được đánh gía ở mức cao	4
31	ມີຫລາຍເລື່ອງເລົ່າກ່ຽວກັບປະເພດທີ່ຕ່າງກັນຂອງຄວາມສະຫຼາດຂອງກາ.	Có rất nhiều chuyện kể về các loại trí thông minh khác nhau của loài quạ .	4
32	ມັນແມ່ນອິນເຕີເນັດ, ເຊິ່ງຊ່ວຍໃຫ້ທ່ານທ່ອງເວັບຢູ່ທຸກບ່ອນໃນໂລກ GPS, ເຊິ່ງຊ່ວຍໃຫ້ທ່ານຮູ້ຢ່າງແນ່ນອນວ່າທ່ານຢູ່ບ່ອນໃດໃນໂລກ; ໜ້າ ຈໍ ສຳ ພັດ, ເຊິ່ງເຮັດໃຫ້ງ່າຍຕໍ່ການໃຊ້ ສຳ ລັບທຸກຄົນ.	Đó là mạng Internet , thứ giúp bạn lướt Web ở bất cứ đâu trên thế giới GPS , cái cho phép bạn biết được đích xác nơi mình đang đứng ở bất cứ nơi đâu trên thế giới ; màn hình cảm ứng , thứ khiến nó trở nên dễ sử dụng hơn với bất kỳ ai .	4
33	ທີ່ກອງປະຊຸມສຳມະນາ, ບັນດາຜູ້ແທນເຂົ້າຮ່ວມໄດ້ປະກອບຄຳເຫັນຫຼາຍຢ່າງເຂົ້າ ຮ່າງໂຄງການ ຍຸດທະສາດແຫ່ງຊາດໃນການພັດທະນາຂະແໜງຊັບພະຍາກອນທຳມະຊາດ ແລະ ສິ່ງແວດລ້ອມ ຈົນຮອດປີ 2030, ວິໄສທັດ 2040.	Tại Hội thảo, các đại biểu tham dự đã đóng góp nhiều ý kiến vào Dự thảo Đề cương Chiến lược quốc gia phát triển ngành tài nguyên và môi trường đến năm 2030, tầm nhìn 2040.	4
34	ຈຳ ນວນວຽກໃຫ້ຫ້ອງສະ ໝຸດ ໄດ້ເພີ່ມຂື້ນເປັນເວລາດົນນານຫລັງຈາກປີ 1957.	Số lượng việc làm cho thủ thư tăng lên trong một thời gian dài sau năm 1957 .	4
35	ໂດຍປະຕິບັດຕາມຄຳຊີ້ນຳຂອງ ທ່ານນາຍົກລັດຖະມົນຕີ , ສະໜາມບິນສາກົນ ເວິນໂດ່ນ ແມ່ນສະຖານທີ່ໜຶ່ງດຽວຢູ່ພາກເໜືອ ທີ່ຈະຈັດຕັ້ງການຕ້ອນຮັບປະຊາຊົນ ແລະ ແຂກທ່ອງທ່ຽວ ຫວຽດນາມ ມາຈາກເຂດເກີດເຊື້ອພະຍາດກັບຄືນມາປະເທດ.	Theo chỉ đạo của Thủ tướng Chính phủ, Cảng hàng không quốc tế Vân Đồn là địa điểm duy nhất ở khu vực miền Bắc tổ chức đón nhân dân và du khách người Việt Nam từ vùng dịch trở về.	4
36	ຫວຽດນາມ ເພີ່ມຂຶ້ນ27ຂັ້ນ ໃນຕາຕະລາງຈັດອັນດັບກຳລັງຄວາມສາ ມາດແກ້ງແຍ້ງ ອຸດສາຫະກຳທົ່ວໂລກ.	Việt Nam tăng 27 bậc trong bảng xếp hạng năng lực cạnh tranh công nghiệp toàn cầu	4
37	ຄະນະຊາວໜຸ່ມທົ່ວກອງທັບ ແລະ ບໍລິສັດໃຫຍ່ເສດຖະກິດເຕັກນິກ ອຸດສາຫະກໍາປ້ອງກັນປະເທດ ໄດ້ມອບ ເຮືອນ 100 ດົ່ງ ໃຫ້ແກ່ 2 ຄອບຄົວນະໂຍບາຍ.	Ban Thanh niên Quân đội và Tổng Công ty Kinh tế kỹ thuật công nghiệp quốc phòng trao tặng ngôi nhà 100 đồng cho hai gia đình chính sách.	4
38	ຊຸກຍູ້ການພັດທະນາຕະຫຼາດທຶນຮັບໃຊ້ບັນດາເປົ້າໝາຍພັດທະນາເສດຖະກິດ,ສັງຄົມ	Thúc đẩy phát triển thị trường vốn phục vụ các mục tiêu phát triển kinh tế - xã hội	4
39	ສູນສື່ມວນຊົນສາກົນມີອຸປະກອນວັດຖຸທັນສະໄໝ, ອິນເຕີເນັດໄວ, ອາຫານແຊບ ທີ່ເຂັ້ມຂຸ້ນໄປດ້ວຍສີສັນ ຫວຽດນາມ.	Trung tâm báo chí quốc tế có trang thiết bị hiện đại, tốc độ internet nhanh, thức ăn ngon, đa dạng, mang đậm bản sắc Việt Nam.	4
40	World Mathematical Olympiad ແມ່ນການເສັງຄະນິດສາດສາກົນທີ່ສະຫງວນໃຫ້ນັກຮຽນມີອາຍຸແຕ່ 8 -13 ປີ, ໄດ້ຮັບການຈັດຕັ້ງປະຈຳປີ.	World Mathematics Olympiad là cuộc thi Toán học quốc tế dành cho học sinh từ 8 đến 13 tuổi, được tổ chức hàng năm.	4
41	ຂ້ອຍໄດ້ເຫັນ TED Fellows ໃນມື້ ທຳ ອິດຂອງຂ້ອຍທີ່ນີ້.	Tôi đã thấy anh chàng TED Fellows trong ngày đầu tiên ở đây .	4
42	ລັດຖະບານ ຫວຽດນາມ ແລະ ແດນມາກ ຮ່ວມມືກ່ຽວກັບພະລັງງານແຕ່ປີ 2008 ມາຮອດປະຈຸບັນ, ດ້ວຍແຫຼ່ງເງິນລົງທຶນຂອງລັດຖະບານ ແດນມາກ ສະຫງວນໃຫ້ ຫວຽດນາມ ປະມານ 45 ລ້ານ USD ເພື່ອຮັບໃຊ້ການພັດທະນາ,ການຜັນຂະຫຍາຍບັນດາໂຄງການລະອຽດມຸ່ງໄປເຖິງການນຳໃຊ້ພະລັງງານຢ່າງມີປະສິດທິຜົນຍືນຍົງ.	Chính phủ Việt Nam và Đan Mạch hợp tác về năng lượng từ năm 2008 đến nay, với nguồn vốn đầu tư của Chính phủ Đan Mạch đối với Việt nam khoảng 45 triệu USD phục vụ phát triển, triển khai các dự án cụ thể hướng tới sử dụng năng lượng hiệu quả bền vững.	4
43	ການເຄື່ອນໄຫວມີຄວາມໝາຍຫຼາຍຢ່າງເພື່ອຄົນທຸກຍາກໃນໂອກາດບຸນປີໃໝ່ປີຈໍ 2018	Nhiều hoạt động có ý nghĩa vì người nghèo nhân dịp Tết Mậu Tuất 2018	4
44	ຫວຽດນາມສະໜັບສະໜູນບັນດາວິສາຫະກິດ ຂອງ ແບນຊິກ ເພີ່ມທະວີການລົງທຶນເຂົ້າ ຫວຽດນາມ; ສົ່ງເສີມບັນດາວິສາຫະກິດ ອີຢູ ແລະ ແບນຊິກ ຊຸກຍູ້ວິວັດທະນາການລົງນາມ ແລະ ໃຫ້ສັດຕະຍາບັນສັນຍາການຄ້າເສລີ ຫວຽດນາມ - ສະຫະພາບເອີລົບ ເພື່ອຜົນປະໂຫຍດຂອງທັງສອງຝ່າຍ.	Việt Nam ủng hộ các doanh nghiệp của Bỉ tăng cường đầu tư vào Việt Nam; khuyến khích các doanh nghiệp châu Âu và Bỉ thúc đẩy tiến trình ký và phê chuẩn Hiệp định thương mại tự do Việt Nam - Liên minh châu Âu vì lợi ích của cả hai bên.	4
45	ພວກເຂົາໃຊ້ເງິນເປັນ ຈຳ ນວນຫຼາຍເພື່ອຊື້ຫຸ້ນຄືນຂອງພວກເຂົາ, ເຊິ່ງມັນບໍ່ຄ່ອຍຈະແຈ້ງປານໃດ.	Họ dành một lượng lớn tiền bạc để mua lại chứng khoán của mình , một điều khá là mơ hồ.	4
46	ວາງສະແດງວັດຖຸພັນ,ຮູບພາບ 200 ຢ່າງກ່ຽວກັບ ວັນນະຄະດີ - ສິລະປະໃນການຕໍ່ຕ້ານ (1945 – 1954)	Trưng bày 200 hiện vật, hình ảnh về Văn học - Nghệ thuật trong kháng chiến (1945-1954)	4
47	ເຖິງວ່າຈຳນວນແຂກເຂົ້າສຸນສານອາໄລຫາຫລາຍກ່ວາເມື່ອທຽບໃສ່ວັນທຳມະດາກໍ່ຕາມ, ແຕ່ຄະນະຄຸ້ມຄອງສຸສານປະທານ ໂຮ່ຈີມິນ ໄດ້ເປັນເຈົ້າການສົມທົບຢ່າງແໜ້ນແຟ້ນລະຫວ່າງບັນດາກຳລັງໃນກຸ່ມປູຊະນີຍະສະຖານປະຫວັດສາດ - ວັດທະນະທຳ ບາດີງ ແລະ ບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງນະຄອນ ຮ່າໂນ້ຍ, ປະຕິບັດວຽກງານກະກຽມເປັນຢ່າງດີ; ຈັດຕັ້ງການຕ້ອນຮັບ, ຮັບໃຊ້ພໍ່ແມ່ປະຊາຊົນ, ແຂກທ່ອງທ່ຽວສາກົນເຂົ້າສຸສານອາໄລຫາ ປະທານ ໂຮ່ຈີມິນ ຢ່າງລອບຄອບຖີ່ຖ້ວນ, ປອດໄພ ແລະ ຢ້ຽມຊົມບັນດາປູຊະນີຍະສະຖານ, ກິດຈະກຳວັດທະນະທຳໃນຂົງເຂດ.	Mặc dù số lượng khách đến viếng đông hơn so với những ngày thường, song Ban Quản lý Lăng Chủ tịch Hồ Chí Minh đã chủ động phối hợp, hiệp đồng chặt chẽ giữa các lực lượng trong Cụm Di tích Lịch sử - Văn hoá Ba Đình và các cơ quan chức năng của thành phố Hà Nội, làm tốt công tác chuẩn bị; tổ chức đón tiếp, phục vụ chu đáo, an toàn đồng bào, khách quốc tế vào Lăng viếng Chủ tịch Hồ Chí Minh và tham quan các di tích, công trình văn hoá trong khu vực.	4
48	ຂ້າພະເຈົ້າໄດ້ນັ່ງຢູ່ທີ່ນັ້ນສົງໄສວ່ານະຮົກຂ້ອຍຈະຫລິ້ນແບບບໍ່ມີຄວາມຮູ້ສຶກແນວໃດ.	Tôi ngồi đó tự hỏi thế quái nào tôi lại tự bày trò oái oăm cho mình vậy .	4
49	ຂ້ອຍເວົ້າວ່າໂງ່, ເຈົ້າຮູ້, ບາງທີພວກເຮົາຄວນຝຶກອົບຮົມໃຫ້ພວກເຂົາເຮັດບາງສິ່ງທີ່ເປັນປະໂຫຍດ.	Tôi nói điều đó thật ngu ngốc , cậu biết đấy , có lẽ ta nên đào tạo chúng làm cái gì đấy hữu ích thì hơn .	4
50	ທະນາຄານພັດທະນາປະເທດບຣາຊິນ, ເຊິ່ງ ກຳ ລັງສະ ໜອງ ເງິນ ຈຳ ນວນມະຫາສານ ສຳ ລັບເຕັກໂນໂລຢີສີຂຽວ, ຍ້ອນວ່າມັນໄດ້ປະກາດໂຄງການໃນອະນາຄົດເຖິງ 56 ພັນລ້ານໂດລາ ສຳ ລັບຂະ ແໜງ ນີ້, ຍັງ ກຳ ລັງຖືຫຸ້ນໃນການລົງທືນຂ້າງເທິງ,	Ngân hàng phát triển Brazil , nơi đang cung cấp một lượng tiền lớn cho công nghệ xanh , như họ vừa công bố một chương trình 56 tỷ trong tương lai dành cho lĩnh vực này , cũng đang nắm giữ cổ phiếu trong những khoản đầu tư nói trên ,	4
51	ທີ່ການເຮັດວຽກ, ສອງຝ່າຍໄດ້ມີການແລກປ່ຽນ ກ່ຽວກັບບັນດານະໂຍບາຍ ໜູນຊ່ວຍ ພັດທະນາຂົງເຂດວິທະຍາສາດ - ເຕັກໂນໂລຢີ ຂອງນະຄອນ ໂຮ່ຈິມິນ (ພິເສດ ໃນໄລຍະ 2016-2020); ລະບົບບໍລິຫານລັດ ກ່ຽວກັບວຽກງານຊັບສິນທາງປັນຍາ, ນະໂຍບາຍໜູນຊ່ວຍການພັດທະນາຊັບສິນທາງປັນຍາ ທີ່ນະຄອນ ໂຮ່ຈິມິນ.	Tại buổi làm việc, hai bên trao đổi về chính sách hỗ trợ phát triển lĩnh vực khoa học công nghệ của Thành phố Hồ Chí Minh (đặc biệt trong giai đoạn 2016 – 2020); hệ thống quản lý nhà nước về sở hữu trí tuệ, chính sách hỗ trợ phát triển tài sản trí tuệ tại Thành phố Hồ Chí Minh.	4
52	Egan ໄດ້ຊັກຊວນໃຫ້ The New Yorker ເລີ່ມຕົ້ນບັນຊີກ່ຽວກັບນິຍາຍ New Yorker ຈາກສິ່ງທີ່ພວກເຂົາສາມາດ tweet ທຸກໆເສັ້ນທີ່ນາງຂຽນ.	Egan đã thuyết phục tạp chí The New Yorker bắt đầu một tài khoản trên New Yorker viễn tưởng từ những gì mà họ có thể tweet tất cả những dòng bà viết .	4
53	ດັ່ງນັ້ນພວກເຮົາຮູ້ຫຍັງກ່ຽວກັບການຮົ່ວໄຫຼສື່ຂ່າວນີ້?	Vậy chúng ta biết gì về các vụ rò rỉ thông tin này ?	4
54	ສະນັ້ນຂ້ອຍຄິດກ່ຽວກັບຄວາມສະຫງົບ, ແລະຫຼັງຈາກນັ້ນຂ້ອຍຄິດວ່າ, ຈຸດເລີ່ມຕົ້ນຂອງຄວາມສະຫງົບຢູ່ໃສ?	Do đó tôi nghĩ về hoà bình , và rồi tôi suy nghĩ , nơi nào là điểm bắt đầu của hoà bình ?	4
